epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.4996,1.07719,2.37517,1.06242,0.80817,0.7101,0.82049,0.52278,1.17921,1.73366,1.10841,0.00055011,0.00055011,0.00055011
2,84.4205,1.13048,1.53131,1.07339,0.70993,0.79078,0.86215,0.52548,1.21948,1.7269,1.15394,0.000996305,0.000996305,0.000996305
3,112.762,1.13256,1.14159,1.0608,0.69934,0.51069,0.61671,0.34007,1.62983,2.16609,1.47222,0.00133248,0.00133248,0.00133248
4,140.863,1.1029,0.92825,1.04734,0.86106,0.95291,0.96751,0.66765,1.05748,0.75265,1.02466,0.0011719,0.0011719,0.0011719
5,169.687,1.00666,0.76225,1.00389,0.94197,0.93747,0.97137,0.70695,0.9321,0.66355,0.94499,0.00100687,0.00100687,0.00100687
6,199.125,0.97346,0.67,0.99264,0.97797,0.98521,0.98336,0.71354,0.94273,0.52566,0.94472,0.000841835,0.000841835,0.000841835
7,228.235,0.89149,0.5821,0.95806,0.97566,0.97371,0.99155,0.77465,0.8147,0.47696,0.90646,0.000676802,0.000676802,0.000676802
8,256.975,0.85529,0.52131,0.93848,0.96771,0.9741,0.97947,0.77238,0.80807,0.47107,0.89276,0.000511769,0.000511769,0.000511769
9,284.603,0.80159,0.47298,0.91671,0.98043,0.98408,0.98918,0.79607,0.77485,0.41647,0.88047,0.000346736,0.000346736,0.000346736
10,312.346,0.7607,0.4419,0.90515,0.9803,0.9845,0.99107,0.81046,0.72487,0.38346,0.86956,0.000181703,0.000181703,0.000181703
