epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9123,1.01073,2.22251,1.04375,0.94494,0.95981,0.98479,0.70702,0.96116,0.9775,0.9752,0.00055011,0.00055011,0.00055011
2,42.6859,1.02359,1.46319,1.02071,0.9184,0.91042,0.94766,0.6695,1.006,0.94872,1.00054,0.000996305,0.000996305,0.000996305
3,59.4895,1.0272,1.10592,1.01923,0.81808,0.74895,0.83613,0.54369,1.14054,1.21212,1.10852,0.00133248,0.00133248,0.00133248
4,75.772,0.98068,0.86903,0.99029,0.89556,0.93089,0.93707,0.67029,0.93227,0.77535,0.9526,0.0011719,0.0011719,0.0011719
5,91.9696,0.94598,0.72176,0.9765,0.97911,0.94495,0.97889,0.73702,0.88558,0.58007,0.93345,0.00100687,0.00100687,0.00100687
6,108.06,0.88193,0.63374,0.95077,0.96657,0.97928,0.9894,0.76734,0.83697,0.48004,0.91184,0.000841835,0.000841835,0.000841835
7,124.287,0.83919,0.55753,0.93721,0.97245,0.97036,0.99076,0.79188,0.79657,0.46752,0.89248,0.000676802,0.000676802,0.000676802
8,140.412,0.79478,0.50646,0.91392,0.95429,0.97746,0.98041,0.7892,0.76753,0.46057,0.8818,0.000511769,0.000511769,0.000511769
9,156.479,0.76231,0.46256,0.90202,0.98616,0.9828,0.98992,0.81841,0.72323,0.38829,0.86816,0.000346736,0.000346736,0.000346736
10,173.21,0.71848,0.42306,0.88903,0.97771,0.99183,0.98925,0.82459,0.70431,0.3624,0.86257,0.000181703,0.000181703,0.000181703
