epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.9045,0.97294,2.35457,1.22101,0.95752,0.89477,0.97632,0.71905,0.90617,1.55551,1.31396,0.00055011,0.00055011,0.00055011
2,101.639,0.97362,1.43895,1.26557,0.86718,0.81413,0.88626,0.60673,1.07119,1.12392,1.47964,0.000996305,0.000996305,0.000996305
3,142.039,0.97478,1.05705,1.30169,0.89849,0.89177,0.95713,0.67512,0.98579,0.87383,1.36418,0.00133248,0.00133248,0.00133248
4,182.06,0.93294,0.80647,1.27749,0.90642,0.88885,0.94366,0.68169,0.95816,0.77372,1.32431,0.0011719,0.0011719,0.0011719
5,221.146,0.89144,0.67352,1.24416,0.9664,0.97438,0.98256,0.76078,0.83997,0.48717,1.21386,0.00100687,0.00100687,0.00100687
6,257.176,0.87885,0.57327,1.22482,0.97433,0.98451,0.98763,0.76151,0.87581,0.4593,1.24521,0.000841835,0.000841835,0.000841835
7,292.054,0.8302,0.50874,1.19007,0.97281,0.97518,0.98751,0.79301,0.79071,0.40105,1.17375,0.000676802,0.000676802,0.000676802
8,321.618,0.78175,0.44381,1.1473,0.98566,0.98653,0.99053,0.82636,0.71688,0.34443,1.11985,0.000511769,0.000511769,0.000511769
9,347.606,0.73873,0.39722,1.11116,0.98479,0.989,0.99137,0.83458,0.69597,0.32374,1.10379,0.000346736,0.000346736,0.000346736
10,375.749,0.69108,0.36316,1.07349,0.98819,0.9874,0.99157,0.83783,0.68102,0.30508,1.0885,0.000181703,0.000181703,0.000181703
