epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.8397,0.75389,1.67223,1.09787,0.93691,0.89928,0.95704,0.76939,0.74521,0.8564,0.98152,0.000553757,0.000553757,0.000553757
2,119.045,0.81457,0.90899,1.11918,0.77224,0.82374,0.90556,0.71117,0.79598,0.92221,1.00185,0.000999591,0.000999591,0.000999591
3,165.381,0.80685,0.66694,1.11018,0.91794,0.93382,0.96575,0.74872,0.77907,0.63339,0.95596,0.0013354,0.0013354,0.0013354
4,209.599,0.7461,0.54281,1.07431,0.94691,0.96706,0.9808,0.83565,0.63565,0.47371,0.89714,0.0011719,0.0011719,0.0011719
5,253.721,0.69304,0.47861,1.0412,0.9674,0.97674,0.98815,0.84105,0.62571,0.38438,0.8728,0.00100687,0.00100687,0.00100687
6,297.031,0.66211,0.43851,1.01532,0.96563,0.9715,0.99055,0.86559,0.5826,0.36208,0.87666,0.000841835,0.000841835,0.000841835
7,341.177,0.61339,0.39329,0.99876,0.96851,0.97003,0.99105,0.8687,0.54745,0.34108,0.85481,0.000676802,0.000676802,0.000676802
8,384.464,0.58405,0.36054,0.97736,0.97051,0.98116,0.99153,0.87609,0.5404,0.30973,0.8446,0.000511769,0.000511769,0.000511769
9,428.272,0.55321,0.33776,0.96411,0.97134,0.98309,0.99167,0.88174,0.52023,0.2887,0.83449,0.000346736,0.000346736,0.000346736
10,470.588,0.51054,0.30902,0.94348,0.96125,0.98909,0.99263,0.89297,0.49153,0.26953,0.8246,0.000181703,0.000181703,0.000181703
