epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.982,0.75058,1.66614,1.10914,0.90449,0.9457,0.96437,0.76192,0.77949,0.7686,0.99006,0.000553757,0.000553757,0.000553757
2,219.408,0.82257,0.88991,1.12999,0.66144,0.78775,0.72555,0.46991,1.16949,1.23135,1.30573,0.000999591,0.000999591,0.000999591
3,287.891,0.828,0.65995,1.11969,0.8057,0.87805,0.94685,0.75372,0.74612,0.68895,0.96479,0.0013354,0.0013354,0.0013354
4,356.086,0.7769,0.56231,1.09033,0.91265,0.95338,0.97508,0.80048,0.69178,0.47666,0.91078,0.0011719,0.0011719,0.0011719
5,423.068,0.71005,0.47929,1.05,0.96024,0.96932,0.98744,0.84292,0.62231,0.38364,0.8868,0.00100687,0.00100687,0.00100687
6,490.321,0.66839,0.42626,1.02218,0.9826,0.9715,0.99066,0.85072,0.59725,0.33793,0.87292,0.000841835,0.000841835,0.000841835
7,559.388,0.62145,0.38514,1.00311,0.97249,0.97478,0.99052,0.85842,0.57424,0.3492,0.86143,0.000676802,0.000676802,0.000676802
8,629.563,0.5957,0.3517,0.98587,0.97245,0.97303,0.99077,0.87494,0.53431,0.31416,0.84631,0.000511769,0.000511769,0.000511769
9,697.086,0.56135,0.33384,0.96923,0.96986,0.9785,0.99044,0.88832,0.51092,0.28809,0.83022,0.000346736,0.000346736,0.000346736
10,763.452,0.5227,0.2994,0.95127,0.98144,0.96876,0.99235,0.89813,0.48344,0.25503,0.82028,0.000181703,0.000181703,0.000181703
